Date,Customer,Invoice_To,Invoice_No,Market,Drop_Off_Point,Currency,Quantity_Sold,No_Boxes,Unit_Price,Total_Sales,Exchange_Rate_to_KES,Total_Sales_KES
2026-01-03,FLOWER AXIS,FLOWER AXIS,16269.0,Export,FRESHFLOW,USD,1000.0,2.0,0.12,120.0,130.0,15600.0
2026-01-03,DOMUS FLOWER LLC,DOMUS FLOWER LLC,16270.0,Export,FREIGHTWINGS,USD,3300.0,11.0,0.1709090909090909,564.0,130.0,73320.0
2026-01-03,WAFEX MELBOURNE,WAFEX,16271.0,Export,KN1,,4700.0,11.0,0.0,0.0,,
2026-01-03,FLOWER HUB,FLOWER HUB,16272.0,Export,KN2,,250.0,1.0,0.0,0.0,,
2026-01-03,FLOWER HUB,FLOWER HUB,16273.0,Export,KN2,USD,1550.0,6.0,0.22806451612903225,353.5,130.0,45955.0
2026-01-03,FLOWER HUB,FLOWER HUB,16275.0,Export,KN2,USD,1120.0,2.0,0.17,190.4,130.0,24752.0
2026-01-03,MONALISA,MONALISA FLORIST,16277.0,Export,DB SCHENKA,USD,1200.0,4.0,0.305,366.0,130.0,47580.0
2026-01-03,GOLDEN,GOLDEN FLOWERS,16278.0,Export,FRESHFLOW,EUR,3920.0,8.0,0.13020408163265307,510.4,140.0,71456.0
2026-01-03,BASS FLORA,PHILLIPE NANNAE,16279.0,Export,MORGAN,USD,8800.0,22.0,0.11,968.0,130.0,125840.0
2026-01-03,SYLES KNET,WAFEX,16280.0,Export,KN1,,900.0,3.0,0.0,0.0,,
2026-03-03,FLOWER HUB,FLOWER HUB,16276.0,Export,KN2,USD,1480.0,6.0,0.24783783783783783,366.8,130.0,47684.0
2026-03-03,TGW,DFG,16274.0,Export,AIRFLO,EUR,1300.0,5.0,0.16,208.0,140.0,29120.0
2026-03-03,FLOWER HUB,FLOWER HUB,16281.0,Export,KN2,USD,2160.0,3.0,0.12,259.2,130.0,33696.0
2026-03-03,PASAFRICA,PASAFRICA,16282.0,Export,AIRFLO,EUR,5200.0,11.0,0.12923076923076923,672.0,140.0,94080.0
2026-03-03,FLOWER HUB,FLOWER HUB,16283.0,Export,KN2,USD,900.0,3.0,0.17,153.0,130.0,19890.0
2026-04-03,FLOWER AXIS,FLOWER AXIS,16286.0,Export,FRESHFLOW,USD,1000.0,2.0,0.12,120.0,130.0,15600.0
2026-04-03,TGW,DFG,16287.0,Export,AIRFLO,EUR,1300.0,5.0,0.16,208.0,140.0,29120.0
2026-04-03,FLOWER HUB,FLOWER HUB,16288.0,Export,KN2,USD,1660.0,6.0,0.2263855421686747,375.8,130.0,48854.0
2026-04-03,FLOWER HUB,FLOWER HUB,16289.0,Export,KN2,USD,2160.0,3.0,0.12,259.2,130.0,33696.0
2026-04-03,FLOWER HUB,FLOWER HUB,16290.0,Export,KN2,USD,900.0,3.0,0.17,153.0,130.0,19890.0
2026-04-03,PASAFRICA,PASAFRICA,16291.0,Export,AIRFLO,USD,2980.0,7.0,0.13744966442953022,409.6,130.0,53248.0
2026-04-03,FLOWARD,OCTOFLO,16292.0,Export,AIRFLO,,1110.0,4.0,0.0,0.0,,
2026-04-03,FLOWER HUB,FLOWER HUB,16293.0,Export,KN2,USD,400.0,1.0,0.17,68.0,130.0,8840.0
2026-04-03,FLOWER HUB,FLOWER HUB,16294.0,Export,KN2,USD,360.0,1.0,0.12000000000000001,43.2,130.0,5616.0
2026-04-03,MODESTO,MODESTO,16295.0,Export,TTC,USD,400.0,1.0,0.13,52.0,130.0,6760.0
2026-05-03,FLOWER AXIS,FLOWER AXIS,16296.0,Export,DB SCHENKA,USD,900.0,3.0,0.17,153.0,130.0,19890.0
2026-05-03,FLOWER HUB,FLOWER HUB,16297.0,Export,KN2,USD,1440.0,2.0,0.12000000000000001,172.8,130.0,22464.0
2026-05-03,TGW,DFG,16298.0,Export,AIRFLO,EUR,1300.0,5.0,0.16,208.0,140.0,29120.0
2026-05-03,FLOWER HUB,FLOWER HUB,16299.0,Export,KN2,USD,990.0,3.0,0.1809090909090909,179.1,130.0,23283.0
2026-05-03,PASAFRICA,PASAFRICA,16300.0,Export,AIRFLO,EUR,4500.0,10.0,0.13777777777777778,620.0,140.0,86800.0
2026-05-03,TRIVIA,TRIVIA LLC,16302.0,Export,EXPOLANKA,USD,1600.0,4.0,0.135,216.0,130.0,28080.0
2026-05-03,FLOWER AXIS,FLOWER AXIS,16303.0,Export,FRESHFLOW,USD,800.0,2.0,0.12,96.0,130.0,12480.0
